Starting data loading
I
AM
SO
BORED
Finished data loading
Running 1000000 iteration over 22 epochs
<bound method Tensor.get_shape of <tf.Tensor 'cross_entropy/Mean:0' shape=() dtype=float32>>
(TensorShape([Dimension(None), Dimension(80), Dimension(80)]), TensorShape([Dimension(None), Dimension(10)]), TensorShape([Dimension(None), Dimension(10)]), (TensorShape([Dimension(None), Dimension(80), Dimension(80)]), TensorShape([Dimension(None), Dimension(10)]), TensorShape([Dimension(None)])))
--------------------Running Epoch 0--------------------
acc_raw at iteration 688640 is 0.22
acc_raw at iteration 691200 is 0.45
acc_raw at iteration 693760 is 0.33
acc_raw at iteration 696320 is 0.81
acc_raw at iteration 698880 is 0.66
acc_raw at iteration 701440 is 0.53
acc_raw at iteration 704000 is 0.39
acc_raw at iteration 706560 is 0.19
acc_raw at iteration 709120 is 0.39
acc_raw at iteration 711680 is 0.53
acc_raw at iteration 714240 is 0.03
acc_raw at iteration 716800 is 0.48
acc_raw at iteration 719360 is 0.78
acc_raw at iteration 721920 is 0.25
acc_raw at iteration 724480 is 0.50
acc_raw at iteration 727040 is 0.73
acc_raw at iteration 729600 is 0.31
acc_raw at iteration 732160 is 0.25
acc_raw at iteration 734720 is 0.84
acc_raw at iteration 737280 is 0.70
acc_raw at iteration 739840 is 0.56
acc_raw at iteration 742400 is 0.27
acc_raw at iteration 744960 is 0.66
acc_raw at iteration 747520 is 0.42
acc_raw at iteration 750080 is 0.59
acc_raw at iteration 752640 is 1.00
acc_raw at iteration 755200 is 0.69
acc_raw at iteration 757760 is 0.41
acc_raw at iteration 760320 is 0.27
acc_raw at iteration 762880 is 0.83
acc_raw at iteration 765440 is 0.48
acc_raw at iteration 768000 is 0.27
acc_raw at iteration 770560 is 0.73
acc_raw at iteration 773120 is 0.62
acc_raw at iteration 775680 is 0.83
acc_raw at iteration 778240 is 0.12
acc_raw at iteration 780800 is 0.70
acc_raw at iteration 783360 is 0.73
acc_raw at iteration 785920 is 0.94
acc_raw at iteration 788480 is 0.42
acc_raw at iteration 791040 is 0.73
acc_raw at iteration 793600 is 0.22
acc_raw at iteration 796160 is 1.00
acc_raw at iteration 798720 is 0.59
acc_raw at iteration 801280 is 0.89
acc_raw at iteration 803840 is 0.66
acc_raw at iteration 806400 is 0.33
acc_raw at iteration 808960 is 0.98
acc_raw at iteration 811520 is 0.75
acc_raw at iteration 814080 is 0.19
acc_raw at iteration 816640 is 0.09
acc_raw at iteration 819200 is 0.34
acc_raw at iteration 821760 is 0.73
acc_raw at iteration 824320 is 0.97
acc_raw at iteration 826880 is 0.12
acc_raw at iteration 829440 is 0.78
acc_raw at iteration 832000 is 0.52
acc_raw at iteration 834560 is 0.55
acc_raw at iteration 837120 is 0.33
acc_raw at iteration 839680 is 0.77
acc_raw at iteration 842240 is 0.94
acc_raw at iteration 844800 is 0.98
acc_raw at iteration 847360 is 0.72
acc_raw at iteration 849920 is 0.83
acc_raw at iteration 852480 is 0.14
acc_raw at iteration 855040 is 0.53
acc_raw at iteration 857600 is 0.48
acc_raw at iteration 860160 is 0.66
acc_raw at iteration 862720 is 0.78
acc_raw at iteration 865280 is 0.28
acc_raw at iteration 867840 is 0.45
acc_raw at iteration 870400 is 0.33
acc_raw at iteration 872960 is 0.83
acc_raw at iteration 875520 is 0.66
acc_raw at iteration 878080 is 0.53
acc_raw at iteration 880640 is 0.48
acc_raw at iteration 883200 is 0.31
acc_raw at iteration 885760 is 0.42
acc_raw at iteration 888320 is 0.73
acc_raw at iteration 890880 is 0.27
acc_raw at iteration 893440 is 0.62
acc_raw at iteration 896000 is 0.86
acc_raw at iteration 898560 is 0.14
acc_raw at iteration 901120 is 0.56
acc_raw at iteration 903680 is 0.73
acc_raw at iteration 906240 is 0.31
acc_raw at iteration 908800 is 0.27
acc_raw at iteration 911360 is 0.98
acc_raw at iteration 913920 is 0.69
acc_raw at iteration 916480 is 0.56
acc_raw at iteration 919040 is 0.33
acc_raw at iteration 921600 is 0.66
acc_raw at iteration 924160 is 0.45
acc_raw at iteration 926720 is 0.56
acc_raw at iteration 929280 is 0.95
acc_raw at iteration 931840 is 0.75
acc_raw at iteration 934400 is 0.48
acc_raw at iteration 936960 is 0.25
acc_raw at iteration 939520 is 0.89
acc_raw at iteration 942080 is 0.52
acc_raw at iteration 944640 is 0.25
acc_raw at iteration 947200 is 0.73
acc_raw at iteration 949760 is 0.66
acc_raw at iteration 952320 is 0.88
acc_raw at iteration 954880 is 0.27
acc_raw at iteration 957440 is 0.77
acc_raw at iteration 960000 is 0.73
acc_raw at iteration 962560 is 0.94
acc_raw at iteration 965120 is 0.41
acc_raw at iteration 967680 is 0.75
acc_raw at iteration 970240 is 0.27
Test data acc_raw is 0.51
Test data acc_max is 0.58
Test data acc_maj is 0.58
651.0
[1.0, 1.0, 1.0]
[ 1.7982857  -3.748077   -0.77123344  2.96487     1.158363   -1.3144189
